================ FULL SWEEP START Thu Jun 25 05:10:38 CDT 2026 ================
Sweep on power-transmission 1x1 | device mps | configs [(128, 3), (256, 4), (512, 4), (1024, 6), (2000, 10)]
saved logs/sweep_1x1_meta.txt
  sweep run     : 2026-06-25T05:10:44
  dataset       : power-transmission 1x1  (/Users/mkfqm/malof_lab/power_tx_data/dataset_1x1.npz)
  grid_n=1  channels=4  kernel K=3
  input_dim=4  output_dim=2001
  samples       : train=2044  val=511  test=451  (test_split=0.15)
  optim         : epochs=500 lr=0.0001 weight_decay=0.0001 batch=128 lr_decay=0.2 lr_patience=10
  device        : mps
  CONFIGS       : [(128, 3), (256, 4), (512, 4), (1024, 6), (2000, 10)]   (HIDDEN x N_HIDDEN)
  variants      : baseline (flat MLP) + neighbourhood (ScaleInvariantMetasurface)

========== config 128x3 ==========
---- baseline 128x3 ----
Trainable parameters: 296,563
Epoch   0 | train 0.732784 | val 0.597416 | lr 1.0e-04
Epoch  10 | train 0.135520 | val 0.126972 | lr 1.0e-04
Epoch  20 | train 0.049618 | val 0.046925 | lr 1.0e-04
Epoch  30 | train 0.027538 | val 0.025537 | lr 1.0e-04
Epoch  40 | train 0.018873 | val 0.017152 | lr 1.0e-04
Epoch  50 | train 0.014549 | val 0.012873 | lr 1.0e-04
Epoch  60 | train 0.012530 | val 0.010353 | lr 1.0e-04
Epoch  70 | train 0.010535 | val 0.008777 | lr 1.0e-04
Epoch  80 | train 0.008907 | val 0.007530 | lr 1.0e-04
Epoch  90 | train 0.008296 | val 0.006608 | lr 1.0e-04
Epoch 100 | train 0.007264 | val 0.005804 | lr 1.0e-04
Epoch 110 | train 0.007584 | val 0.005179 | lr 1.0e-04
Epoch 120 | train 0.006522 | val 0.004667 | lr 1.0e-04
Epoch 130 | train 0.005974 | val 0.004258 | lr 1.0e-04
Epoch 140 | train 0.005061 | val 0.003808 | lr 1.0e-04
Epoch 150 | train 0.005286 | val 0.003550 | lr 1.0e-04
Epoch 160 | train 0.004641 | val 0.003251 | lr 1.0e-04
Epoch 170 | train 0.004279 | val 0.003149 | lr 1.0e-04
Epoch 180 | train 0.004089 | val 0.002798 | lr 1.0e-04
Epoch 190 | train 0.004527 | val 0.002620 | lr 1.0e-04
Epoch 200 | train 0.003718 | val 0.002475 | lr 2.0e-05
Epoch 210 | train 0.003443 | val 0.002434 | lr 4.0e-06
Epoch 220 | train 0.003909 | val 0.002433 | lr 4.0e-06
Epoch 230 | train 0.003746 | val 0.002420 | lr 8.0e-07
Epoch 240 | train 0.003844 | val 0.002430 | lr 1.6e-07
Epoch 250 | train 0.004020 | val 0.002427 | lr 3.2e-08
Epoch 260 | train 0.003803 | val 0.002415 | lr 6.4e-09
Epoch 270 | train 0.003530 | val 0.002413 | lr 6.4e-09
Epoch 280 | train 0.003988 | val 0.002424 | lr 6.4e-09
Epoch 290 | train 0.003531 | val 0.002422 | lr 6.4e-09
Epoch 300 | train 0.004818 | val 0.002434 | lr 6.4e-09
Epoch 310 | train 0.003946 | val 0.002469 | lr 6.4e-09
Epoch 320 | train 0.003993 | val 0.002417 | lr 6.4e-09
Epoch 330 | train 0.003239 | val 0.002411 | lr 6.4e-09
Epoch 340 | train 0.004280 | val 0.002418 | lr 6.4e-09
Epoch 350 | train 0.003842 | val 0.002417 | lr 6.4e-09
Epoch 360 | train 0.003919 | val 0.002414 | lr 6.4e-09
Epoch 370 | train 0.004187 | val 0.002417 | lr 6.4e-09
Epoch 380 | train 0.003870 | val 0.002424 | lr 6.4e-09
Epoch 390 | train 0.003435 | val 0.002424 | lr 6.4e-09
Epoch 400 | train 0.003695 | val 0.002448 | lr 6.4e-09
Epoch 410 | train 0.003866 | val 0.002447 | lr 6.4e-09
Epoch 420 | train 0.004623 | val 0.002417 | lr 6.4e-09
Epoch 430 | train 0.003646 | val 0.002446 | lr 6.4e-09
Epoch 440 | train 0.004296 | val 0.002398 | lr 6.4e-09
Epoch 450 | train 0.003776 | val 0.002402 | lr 6.4e-09
Epoch 460 | train 0.004150 | val 0.002464 | lr 6.4e-09
Epoch 470 | train 0.003919 | val 0.002404 | lr 6.4e-09
Epoch 480 | train 0.004132 | val 0.002424 | lr 6.4e-09
Epoch 490 | train 0.003077 | val 0.002424 | lr 6.4e-09

Done in 0.5 min. Best val loss: 0.002398
Saved best checkpoint to: ckpts/sweep_1x1_baseline_128x3.pt
---- neighbourhood 128x3 ----
Trainable parameters: 300,659
Epoch   0 | train 0.728673 | val 0.592867 | lr 1.0e-04
Epoch  10 | train 0.127548 | val 0.118404 | lr 1.0e-04
Epoch  20 | train 0.041148 | val 0.038469 | lr 1.0e-04
Epoch  30 | train 0.022662 | val 0.020922 | lr 1.0e-04
Epoch  40 | train 0.016616 | val 0.014374 | lr 1.0e-04
Epoch  50 | train 0.012310 | val 0.010828 | lr 1.0e-04
Epoch  60 | train 0.010660 | val 0.008648 | lr 1.0e-04
Epoch  70 | train 0.009530 | val 0.007162 | lr 1.0e-04
Epoch  80 | train 0.007629 | val 0.006054 | lr 1.0e-04
Epoch  90 | train 0.006545 | val 0.005175 | lr 1.0e-04
Epoch 100 | train 0.006488 | val 0.004692 | lr 1.0e-04
Epoch 110 | train 0.005671 | val 0.004088 | lr 1.0e-04
Epoch 120 | train 0.005215 | val 0.003736 | lr 1.0e-04
Epoch 130 | train 0.005616 | val 0.003284 | lr 1.0e-04
Epoch 140 | train 0.004900 | val 0.003044 | lr 1.0e-04
Epoch 150 | train 0.004673 | val 0.002793 | lr 1.0e-04
Epoch 160 | train 0.004062 | val 0.002614 | lr 2.0e-05
Epoch 170 | train 0.003939 | val 0.002597 | lr 2.0e-05
Epoch 180 | train 0.004362 | val 0.002499 | lr 2.0e-05
Epoch 190 | train 0.003918 | val 0.002477 | lr 2.0e-05
Epoch 200 | train 0.003862 | val 0.002447 | lr 4.0e-06
Epoch 210 | train 0.003817 | val 0.002459 | lr 8.0e-07
Epoch 220 | train 0.004041 | val 0.002445 | lr 1.6e-07
Epoch 230 | train 0.004027 | val 0.002439 | lr 3.2e-08
Epoch 240 | train 0.004240 | val 0.002502 | lr 6.4e-09
Epoch 250 | train 0.003996 | val 0.002483 | lr 6.4e-09
Epoch 260 | train 0.003521 | val 0.002467 | lr 6.4e-09
Epoch 270 | train 0.003451 | val 0.002428 | lr 6.4e-09
Epoch 280 | train 0.003520 | val 0.002460 | lr 6.4e-09
Epoch 290 | train 0.003820 | val 0.002455 | lr 6.4e-09
Epoch 300 | train 0.004066 | val 0.002484 | lr 6.4e-09
Epoch 310 | train 0.004473 | val 0.002452 | lr 6.4e-09
Epoch 320 | train 0.003738 | val 0.002458 | lr 6.4e-09
Epoch 330 | train 0.003480 | val 0.002482 | lr 6.4e-09
Epoch 340 | train 0.003574 | val 0.002436 | lr 6.4e-09
Epoch 350 | train 0.003955 | val 0.002500 | lr 6.4e-09
