================ FULL SWEEP START Thu Jun 25 04:03:15 CDT 2026 ================
Sweep on power-transmission 2x2 | device mps | configs [(128, 3), (256, 4), (512, 4), (1024, 6), (2000, 10)]

========== config 128x3 ==========
---- baseline 128x3 ----
Trainable parameters: 298,099
Epoch   0 | train 0.759120 | val 0.613669 | lr 1.0e-04
Epoch  10 | train 0.342037 | val 0.343685 | lr 1.0e-04
Epoch  20 | train 0.183872 | val 0.197449 | lr 1.0e-04
Epoch  30 | train 0.126640 | val 0.142635 | lr 1.0e-04
Epoch  40 | train 0.103280 | val 0.118254 | lr 1.0e-04
Epoch  50 | train 0.089228 | val 0.103215 | lr 1.0e-04
Epoch  60 | train 0.079131 | val 0.092663 | lr 1.0e-04
Epoch  70 | train 0.071498 | val 0.084782 | lr 1.0e-04
Epoch  80 | train 0.065865 | val 0.078319 | lr 1.0e-04
Epoch  90 | train 0.061614 | val 0.073812 | lr 1.0e-04
Epoch 100 | train 0.057944 | val 0.070207 | lr 1.0e-04
Epoch 110 | train 0.055133 | val 0.067373 | lr 1.0e-04
Epoch 120 | train 0.052884 | val 0.064930 | lr 1.0e-04
Epoch 130 | train 0.050769 | val 0.062944 | lr 1.0e-04
Epoch 140 | train 0.049297 | val 0.061536 | lr 1.0e-04
Epoch 150 | train 0.047595 | val 0.060000 | lr 1.0e-04
Epoch 160 | train 0.046318 | val 0.058933 | lr 1.0e-04
Epoch 170 | train 0.044809 | val 0.057745 | lr 1.0e-04
Epoch 180 | train 0.043889 | val 0.056693 | lr 1.0e-04
Epoch 190 | train 0.042620 | val 0.055837 | lr 1.0e-04
Epoch 200 | train 0.041289 | val 0.054919 | lr 1.0e-04
Epoch 210 | train 0.040430 | val 0.054491 | lr 1.0e-04
Epoch 220 | train 0.039682 | val 0.053724 | lr 1.0e-04
Epoch 230 | train 0.038063 | val 0.053415 | lr 1.0e-04
Epoch 240 | train 0.037406 | val 0.052947 | lr 1.0e-04
Epoch 250 | train 0.036332 | val 0.052479 | lr 1.0e-04
Epoch 260 | train 0.035282 | val 0.051885 | lr 1.0e-04
Epoch 270 | train 0.034273 | val 0.051685 | lr 1.0e-04
Epoch 280 | train 0.033044 | val 0.051322 | lr 1.0e-04
Epoch 290 | train 0.032090 | val 0.051262 | lr 1.0e-04
Epoch 300 | train 0.030930 | val 0.051050 | lr 1.0e-04
Epoch 310 | train 0.030286 | val 0.050692 | lr 1.0e-04
Epoch 320 | train 0.029147 | val 0.050689 | lr 1.0e-04
Epoch 330 | train 0.028590 | val 0.050703 | lr 1.0e-04
Epoch 340 | train 0.027146 | val 0.050677 | lr 1.0e-04
Epoch 350 | train 0.026635 | val 0.050737 | lr 1.0e-04
Epoch 360 | train 0.025897 | val 0.050628 | lr 1.0e-04
Epoch 370 | train 0.025155 | val 0.050531 | lr 1.0e-04
Epoch 380 | train 0.024330 | val 0.050478 | lr 1.0e-04
Epoch 390 | train 0.023388 | val 0.050737 | lr 1.0e-04
Epoch 400 | train 0.022373 | val 0.050565 | lr 1.0e-04
Epoch 410 | train 0.021994 | val 0.050709 | lr 1.0e-04
Epoch 420 | train 0.021066 | val 0.050695 | lr 1.0e-04
Epoch 430 | train 0.020709 | val 0.050905 | lr 1.0e-04
Epoch 440 | train 0.020096 | val 0.050778 | lr 1.0e-04
Epoch 450 | train 0.019652 | val 0.050961 | lr 1.0e-04
Epoch 460 | train 0.019227 | val 0.050971 | lr 1.0e-04
Epoch 470 | train 0.018449 | val 0.050818 | lr 1.0e-04
Epoch 480 | train 0.017409 | val 0.050682 | lr 1.0e-04
Epoch 490 | train 0.017516 | val 0.050722 | lr 1.0e-04

Done in 0.2 min. Best val loss: 0.050478
Saved best checkpoint to: ckpts/sweep_2x2_baseline_128x3.pt
---- neighbourhood 128x3 ----
Trainable parameters: 300,659
Epoch   0 | train 0.676384 | val 0.613602 | lr 1.0e-04
Epoch  10 | train 0.263483 | val 0.263693 | lr 1.0e-04
Epoch  20 | train 0.113984 | val 0.119851 | lr 1.0e-04
Epoch  30 | train 0.071185 | val 0.076936 | lr 1.0e-04
Epoch  40 | train 0.059292 | val 0.064987 | lr 1.0e-04
Epoch  50 | train 0.055063 | val 0.060690 | lr 1.0e-04
Epoch  60 | train 0.052731 | val 0.058270 | lr 1.0e-04
Epoch  70 | train 0.050980 | val 0.056294 | lr 1.0e-04
Epoch  80 | train 0.048982 | val 0.054505 | lr 1.0e-04
Epoch  90 | train 0.047001 | val 0.052970 | lr 1.0e-04
Epoch 100 | train 0.045752 | val 0.051538 | lr 1.0e-04
Epoch 110 | train 0.044225 | val 0.050192 | lr 1.0e-04
Epoch 120 | train 0.042737 | val 0.049018 | lr 1.0e-04
Epoch 130 | train 0.041595 | val 0.047835 | lr 1.0e-04
Epoch 140 | train 0.040300 | val 0.046805 | lr 1.0e-04
Epoch 150 | train 0.039563 | val 0.045773 | lr 1.0e-04
Epoch 160 | train 0.038446 | val 0.044948 | lr 1.0e-04
Epoch 170 | train 0.037809 | val 0.044015 | lr 1.0e-04
Epoch 180 | train 0.036402 | val 0.043268 | lr 1.0e-04
Epoch 190 | train 0.034988 | val 0.042557 | lr 1.0e-04
Epoch 200 | train 0.034226 | val 0.041816 | lr 1.0e-04
Epoch 210 | train 0.033092 | val 0.041106 | lr 1.0e-04
Epoch 220 | train 0.031712 | val 0.040495 | lr 1.0e-04
Epoch 230 | train 0.030907 | val 0.039840 | lr 1.0e-04
Epoch 240 | train 0.029579 | val 0.039311 | lr 1.0e-04
Epoch 250 | train 0.028272 | val 0.038771 | lr 1.0e-04
Epoch 260 | train 0.027112 | val 0.038235 | lr 1.0e-04
Epoch 270 | train 0.026493 | val 0.038033 | lr 1.0e-04
Epoch 280 | train 0.025038 | val 0.037516 | lr 1.0e-04
Epoch 290 | train 0.024034 | val 0.037244 | lr 1.0e-04
Epoch 300 | train 0.023220 | val 0.037072 | lr 1.0e-04
Epoch 310 | train 0.022132 | val 0.036820 | lr 1.0e-04
Epoch 320 | train 0.021135 | val 0.036641 | lr 1.0e-04
Epoch 330 | train 0.021457 | val 0.036631 | lr 1.0e-04
Epoch 340 | train 0.019909 | val 0.036605 | lr 1.0e-04
Epoch 350 | train 0.019210 | val 0.036551 | lr 1.0e-04
Epoch 360 | train 0.018380 | val 0.036404 | lr 1.0e-04
Epoch 370 | train 0.017615 | val 0.036429 | lr 1.0e-04
Epoch 380 | train 0.017267 | val 0.036479 | lr 1.0e-04
Epoch 390 | train 0.016601 | val 0.036406 | lr 1.0e-04
Epoch 400 | train 0.016688 | val 0.036635 | lr 1.0e-04
Epoch 410 | train 0.015728 | val 0.036692 | lr 1.0e-04
Epoch 420 | train 0.015587 | val 0.036630 | lr 1.0e-04
Epoch 430 | train 0.015009 | val 0.036606 | lr 1.0e-04
Epoch 440 | train 0.014785 | val 0.036812 | lr 1.0e-04
Epoch 450 | train 0.014084 | val 0.036951 | lr 1.0e-04
Epoch 460 | train 0.014006 | val 0.036899 | lr 1.0e-04
Epoch 470 | train 0.013602 | val 0.037029 | lr 1.0e-04
Epoch 480 | train 0.013331 | val 0.037067 | lr 1.0e-04
Epoch 490 | train 0.012970 | val 0.037092 | lr 1.0e-04

Done in 0.3 min. Best val loss: 0.036404
Saved best checkpoint to: ckpts/sweep_2x2_neigh_128x3.pt
[128x3] baseline test 0.04851 (val 0.05048) | neigh test 0.03441 (val 0.03640)

========== config 256x4 ==========
---- baseline 256x4 ----
Trainable parameters: 722,035
Epoch   0 | train 0.737964 | val 0.605412 | lr 1.0e-04
Epoch  10 | train 0.175043 | val 0.190173 | lr 1.0e-04
Epoch  20 | train 0.104877 | val 0.123881 | lr 1.0e-04
Epoch  30 | train 0.082697 | val 0.100911 | lr 1.0e-04
Epoch  40 | train 0.069282 | val 0.086089 | lr 1.0e-04
Epoch  50 | train 0.059978 | val 0.075743 | lr 1.0e-04
Epoch  60 | train 0.054291 | val 0.069134 | lr 1.0e-04
Epoch  70 | train 0.049470 | val 0.064647 | lr 1.0e-04
Epoch  80 | train 0.046385 | val 0.061624 | lr 1.0e-04
Epoch  90 | train 0.043181 | val 0.059677 | lr 1.0e-04
Epoch 100 | train 0.040606 | val 0.058146 | lr 1.0e-04
Epoch 110 | train 0.038260 | val 0.057188 | lr 1.0e-04
Epoch 120 | train 0.035792 | val 0.056715 | lr 1.0e-04
Epoch 130 | train 0.033433 | val 0.055877 | lr 1.0e-04
Epoch 140 | train 0.030811 | val 0.055731 | lr 1.0e-04
Epoch 150 | train 0.029379 | val 0.055442 | lr 1.0e-04
Epoch 160 | train 0.027221 | val 0.055599 | lr 1.0e-04
Epoch 170 | train 0.025554 | val 0.055083 | lr 1.0e-04
Epoch 180 | train 0.023499 | val 0.055250 | lr 1.0e-04
Epoch 190 | train 0.022153 | val 0.055278 | lr 1.0e-04
Epoch 200 | train 0.020968 | val 0.054861 | lr 1.0e-04
Epoch 210 | train 0.019539 | val 0.054570 | lr 1.0e-04
Epoch 220 | train 0.018995 | val 0.054839 | lr 1.0e-04
Epoch 230 | train 0.017997 | val 0.054591 | lr 1.0e-04
Epoch 240 | train 0.016749 | val 0.054538 | lr 1.0e-04
Epoch 250 | train 0.015499 | val 0.054840 | lr 1.0e-04
Epoch 260 | train 0.015291 | val 0.054352 | lr 1.0e-04
Epoch 270 | train 0.014300 | val 0.054356 | lr 1.0e-04
Epoch 280 | train 0.013975 | val 0.053827 | lr 1.0e-04
Epoch 290 | train 0.012965 | val 0.054370 | lr 1.0e-04
Epoch 300 | train 0.012131 | val 0.054306 | lr 1.0e-04
Epoch 310 | train 0.011376 | val 0.054089 | lr 1.0e-04
Epoch 320 | train 0.010757 | val 0.054418 | lr 1.0e-04
Epoch 330 | train 0.010977 | val 0.054082 | lr 1.0e-04
Epoch 340 | train 0.010238 | val 0.054461 | lr 2.0e-05
Epoch 350 | train 0.009821 | val 0.054164 | lr 2.0e-05
Epoch 360 | train 0.010153 | val 0.054313 | lr 2.0e-05
Epoch 370 | train 0.009360 | val 0.054323 | lr 4.0e-06
Epoch 380 | train 0.009620 | val 0.054403 | lr 4.0e-06
Epoch 390 | train 0.009962 | val 0.054347 | lr 4.0e-06
Epoch 400 | train 0.009313 | val 0.054280 | lr 8.0e-07
Epoch 410 | train 0.009564 | val 0.054309 | lr 1.6e-07
Epoch 420 | train 0.009526 | val 0.054397 | lr 1.6e-07
Epoch 430 | train 0.010275 | val 0.054208 | lr 3.2e-08
Epoch 440 | train 0.009784 | val 0.054286 | lr 6.4e-09
Epoch 450 | train 0.009806 | val 0.054255 | lr 6.4e-09
Epoch 460 | train 0.010277 | val 0.054311 | lr 6.4e-09
Epoch 470 | train 0.010426 | val 0.054372 | lr 6.4e-09
Epoch 480 | train 0.010069 | val 0.054380 | lr 6.4e-09
Epoch 490 | train 0.009459 | val 0.054406 | lr 6.4e-09

Done in 0.3 min. Best val loss: 0.053827
Saved best checkpoint to: ckpts/sweep_2x2_baseline_256x4.pt
---- neighbourhood 256x4 ----
Trainable parameters: 727,155
Epoch   0 | train 0.643605 | val 0.600811 | lr 1.0e-04
Epoch  10 | train 0.104521 | val 0.108304 | lr 1.0e-04
Epoch  20 | train 0.057225 | val 0.064835 | lr 1.0e-04
Epoch  30 | train 0.050948 | val 0.058844 | lr 1.0e-04
Epoch  40 | train 0.046618 | val 0.055120 | lr 1.0e-04
Epoch  50 | train 0.043133 | val 0.052276 | lr 1.0e-04
Epoch  60 | train 0.040007 | val 0.049991 | lr 1.0e-04
Epoch  70 | train 0.036989 | val 0.048392 | lr 1.0e-04
Epoch  80 | train 0.034450 | val 0.047121 | lr 1.0e-04
Epoch  90 | train 0.031306 | val 0.045912 | lr 1.0e-04
Epoch 100 | train 0.028468 | val 0.045193 | lr 1.0e-04
Epoch 110 | train 0.025659 | val 0.044391 | lr 1.0e-04
Epoch 120 | train 0.023177 | val 0.044088 | lr 1.0e-04
Epoch 130 | train 0.021141 | val 0.043468 | lr 1.0e-04
Epoch 140 | train 0.019262 | val 0.043309 | lr 1.0e-04
Epoch 150 | train 0.017707 | val 0.042818 | lr 1.0e-04
Epoch 160 | train 0.016318 | val 0.042807 | lr 1.0e-04
Epoch 170 | train 0.015239 | val 0.042762 | lr 1.0e-04
Epoch 180 | train 0.014275 | val 0.042824 | lr 1.0e-04
Epoch 190 | train 0.013066 | val 0.042719 | lr 1.0e-04
Epoch 200 | train 0.012228 | val 0.042666 | lr 1.0e-04
Epoch 210 | train 0.011613 | val 0.043031 | lr 1.0e-04
Epoch 220 | train 0.010898 | val 0.042596 | lr 1.0e-04
Epoch 230 | train 0.010183 | val 0.042760 | lr 1.0e-04
Epoch 240 | train 0.009651 | val 0.042812 | lr 1.0e-04
Epoch 250 | train 0.009030 | val 0.042703 | lr 1.0e-04
Epoch 260 | train 0.008914 | val 0.042916 | lr 1.0e-04
Epoch 270 | train 0.008427 | val 0.042797 | lr 1.0e-04
Epoch 280 | train 0.008157 | val 0.043140 | lr 1.0e-04
Epoch 290 | train 0.007678 | val 0.042651 | lr 1.0e-04
Epoch 300 | train 0.007514 | val 0.043282 | lr 1.0e-04
Epoch 310 | train 0.007202 | val 0.043009 | lr 1.0e-04
Epoch 320 | train 0.006790 | val 0.043141 | lr 1.0e-04
Epoch 330 | train 0.006516 | val 0.043026 | lr 1.0e-04
Epoch 340 | train 0.005986 | val 0.042917 | lr 1.0e-04
Epoch 350 | train 0.005937 | val 0.042625 | lr 1.0e-04
Epoch 360 | train 0.005689 | val 0.043218 | lr 1.0e-04
Epoch 370 | train 0.005919 | val 0.042846 | lr 1.0e-04
Epoch 380 | train 0.005854 | val 0.042418 | lr 1.0e-04
Epoch 390 | train 0.005401 | val 0.043176 | lr 1.0e-04
Epoch 400 | train 0.005330 | val 0.042569 | lr 1.0e-04
